n,k,num_vertices,alpha,alpha_odd,alpha_square,alpha_eq_alpha_odd,alpha_square_eq_alpha,seconds
5,1,5,1,1,1,1,1,0.023
5,2,10,4,4,1,1,0,0.007
6,1,6,1,1,1,1,1,0.005
6,2,15,5,5,1,1,0,0.022
6,3,20,10,10,10,1,1,0.007
7,1,7,1,1,1,1,1,0.003
7,2,21,6,6,1,1,0,0.019
7,3,35,15,5,7,0,0,0.038
8,1,8,1,1,1,1,1,0.004
8,2,28,7,7,1,1,0,0.041
8,3,56,21,21,1,1,0,0.107
8,4,70,35,35,35,1,1,0.022
9,1,9,1,1,1,1,1,0.004
9,2,36,8,8,1,1,0,0.052
9,3,84,28,28,1,1,0,0.239
9,4,126,56,21,12,0,0,3.819
10,1,10,1,1,1,1,1,0.017
10,2,45,9,9,1,1,0,0.173
10,3,120,36,36,1,1,0,1.04
10,4,210,84,28,5,0,0,1.654
10,5,252,126,126,126,1,1,0.604
11,1,11,1,1,1,1,1,0.016
11,2,55,10,10,1,1,0,0.318
11,3,165,45,45,1,1,0,1.79
11,4,330,120,120,1,1,0,16.878
