run_tag,n,k,V_count,alpha,alpha_odd,alpha_sq,eq1_alphaodd_eq_alpha,eq2_alphaodd_eq_alphasq,seconds
run_20251208-131650,2,1,2,1,1,1,True,True,0.127
run_20251208-131650,3,1,3,1,1,1,True,True,0.034
run_20251208-131650,4,1,4,1,1,1,True,True,0.013
run_20251208-131650,4,2,6,3,3,3,True,True,0.018
run_20251208-131650,5,1,5,1,1,1,True,True,0.004
run_20251208-131650,5,2,10,4,4,1,True,False,0.015
run_20251208-131650,6,1,6,1,1,1,True,True,0.004
run_20251208-131650,6,2,15,5,5,1,True,False,0.05
run_20251208-131650,6,3,20,10,10,10,True,True,0.007
run_20251208-131650,7,1,7,1,1,1,True,True,0.006
run_20251208-131650,7,2,21,6,6,1,True,False,0.016
run_20251208-131650,7,3,35,15,5,7,False,False,0.026
run_20251208-131650,8,1,8,1,1,1,True,True,0.005
run_20251208-131650,8,2,28,7,7,1,True,False,0.031
run_20251208-131650,8,3,56,21,21,1,True,False,0.078
run_20251208-131650,8,4,70,35,35,35,True,True,0.027
run_20251208-131650,9,1,9,1,1,1,True,True,0.005
run_20251208-131650,9,2,36,8,8,1,True,False,0.055
run_20251208-131650,9,3,84,28,28,1,True,False,0.229
run_20251208-131650,9,4,126,56,21,12,False,False,3.107
run_20251208-131650,10,1,10,1,1,1,True,True,0.006
run_20251208-131650,10,2,45,9,9,1,True,False,0.099
run_20251208-131650,10,3,120,36,36,1,True,False,0.695
run_20251208-131650,10,4,210,84,28,5,False,False,1.335
run_20251208-131650,10,5,252,126,126,126,True,True,0.319
run_20251208-131650,11,1,11,1,1,1,True,True,0.005
run_20251208-131650,11,2,55,10,10,1,True,False,0.162
run_20251208-131650,11,3,165,45,45,1,True,False,1.547
run_20251208-131650,11,4,330,120,120,1,True,False,9.166
