run_tag,n,k,num_vertices,alpha,alpha_odd,alpha_square,alpha_odd_eq_alpha,alpha_odd_eq_alpha_square,seconds
drugic,5,1,5,1,1,1,1,1,0.101
drugic,5,2,10,4,4,1,1,0,0.014
drugic,6,1,6,1,1,1,1,1,0.005
drugic,6,2,15,5,5,1,1,0,0.017
drugic,6,3,20,10,10,10,1,1,0.016
drugic,7,1,7,1,1,1,1,1,0.017
drugic,7,2,21,6,6,1,1,0,0.042
drugic,7,3,35,15,5,7,0,0,0.055
drugic,8,1,8,1,1,1,1,1,0.003
drugic,8,2,28,7,7,1,1,0,0.036
drugic,8,3,56,21,21,1,1,0,0.07
drugic,8,4,70,35,35,35,1,1,0.022
drugic,9,1,9,1,1,1,1,1,0.004
drugic,9,2,36,8,8,1,1,0,0.053
drugic,9,3,84,28,28,1,1,0,0.241
drugic,9,4,126,56,21,12,0,0,3.021
drugic,10,1,10,1,1,1,1,1,0.005
drugic,10,2,45,9,9,1,1,0,0.089
drugic,10,3,120,36,36,1,1,0,0.602
drugic,10,4,210,84,28,5,0,0,0.996
drugic,10,5,252,126,126,126,1,1,0.21
