n,k,alpha,alpha_odd,alpha_squared,alpha_od_eq_alpha,alpha_od_eq_alpha_squared,premer,min_stopnja,max_stopnja,neparna_stopnja,obseg,radij,Hamiltonov,kromaticno_st,gostota,st_trikotnikov,st_kvadratov
2,1,1,1,1,True,True,1.0,1,1,True,inf,1.0,False,2,1.0,0,0
3,1,1,1,1,True,True,1.0,2,2,False,3,1.0,True,3,1.0,3,0
4,1,1,1,1,True,True,1.0,3,3,True,3,1.0,True,4,1.0,12,6
4,2,3,3,3,True,True,inf,1,1,True,+Infinity,inf,False,2,0.2,0,0
5,1,1,1,1,True,True,1.0,4,4,False,3,1.0,True,5,1.0,30,15
5,2,4,3,1,False,False,2.0,3,3,True,5,2.0,False,3,0.3333333333333333,0,0
6,1,1,1,1,True,True,1.0,5,5,True,3,1.0,True,6,1.0,60,30
6,2,5,5,1,True,False,2.0,6,6,False,3,2.0,True,4,0.42857142857142855,45,22
6,3,10,10,10,True,True,inf,1,1,True,+Infinity,inf,False,2,0.05263157894736842,0,0
7,1,1,1,1,True,True,1.0,6,6,False,3,1.0,True,7,1.0,105,52
7,2,6,3,1,False,False,2.0,10,10,False,3,2.0,True,5,0.5,315,157
7,3,15,15,7,True,False,3.0,4,4,False,6,3.0,True,3,0.11764705882352941,0,0
8,1,1,1,1,True,True,1.0,7,7,True,3,1.0,True,8,1.0,168,84
8,2,7,7,1,True,False,2.0,15,15,True,3,2.0,True,6,0.5555555555555556,1260,630
8,3,21,,1,False,False,2.0,10,10,False,4,2.0,True,4,0.18181818181818182,0,0
8,4,35,,35,False,True,inf,1,1,True,+Infinity,inf,False,2,0.014492753623188406,0,0
9,1,1,1,1,True,True,1.0,8,8,False,3,1.0,True,9,1.0,252,126
9,2,8,3,1,False,False,2.0,21,21,True,3,2.0,True,7,0.6,3780,1890
9,3,28,,1,False,False,2.0,20,20,False,3,2.0,True,5,0.24096385542168675,840,420
9,4,56,,12,False,False,4.0,5,5,True,6,4.0,True,3,0.04,0,0
